name,weight,polyline,polygon,dimensions,history,image,link,entityIds,themes,types
Copps Coliseum,-1,"43.25972942441498,-79.87260103225708,43.25940907727594,-79.87114191055298,43.258455839234315,-79.87154960632323,43.25887776611,-79.87325549125671,43.25978411766049,-79.87286925315857,43.25972942441498,-79.87260103225708",1,2,,,,65,Politicians,Building
Crerar Drive,4,"43.21207295076912,-79.8679232597351,43.21082182799006,-79.86854553222656,43.20908585262407,-79.86929655075073,43.20856974231141,-79.86966133117676,43.20831950543632,-79.87066984176636,43.20883561786637,-79.87324476242065,43.208804338449454,-79.87369537353516",0,3,,,,66,Veterans,Street
Crockett Street,4,"43.23902841048567,-79.85519886016846,43.23748082673907,-79.84880447387695,43.23779347308843,-79.84781742095947,43.23704311915495,-79.84496355056763,43.236746101503655,-79.84397649765015,43.23493269917835,-79.83610153198242",0,3,,,,67,Business,Street
Crooks Hollow,-1,"43.27256536292215,-80.00937223434448,43.275783688712856,-80.01016616821289,43.275861801300856,-80.00952243804932,43.276408586609264,-80.00935077667236,43.2770178558797,-80.0093936920166,43.277377165666685,-80.00962972640991,43.2777208513037,-80.00866413116454,43.27770522927142,-80.00810623168945,43.27881438359771,-80.0069260597229,43.28003286786084,-80.00589609146118,43.28011097499419,-80.00531673431396,43.27724437751431,-80.0043511390686,43.27740840989573,-80.00383615493774,43.27709596688343,-79.9993085861206,43.27726781073872,-79.99881505966185,43.27803329110738,-79.998300075531,43.27868940947307,-79.99769926071167,43.27469010195276,-79.99684095382689,43.27256536292215,-80.00937223434448",1,2,,,,68,Settlers,Park
The David Braley Athletic Centre,-1,"43.2647649036845,-79.91701304912566,43.26508522264329,-79.91702377796173,43.26508522264329,-79.9170935153961,43.265331320210656,-79.91710424423218,43.265346945419424,-79.91632640361786,43.26543679029209,-79.91633176803589,43.265444602883456,-79.91610109806061,43.26531178869404,-79.91609036922455,43.265323507604755,-79.9154680967331,43.26514772370705,-79.91546273231506,43.26513991107757,-79.91574168205261,43.26482740507711,-79.91573095321655,43.26482740507711,-79.91602063179016,43.2647492783263,-79.91602063179016,43.26473365296413,-79.91701304912566,43.2647649036845,-79.91701304912566",1,2,,,,69,"Politicians,Business",Building
Desjardins Canal,-1,"43.26624148193477,-79.94233846664429,43.26624538817896,-79.94243502616882,43.26641726267408,-79.94259595870972,43.26659694912742,-79.94260668754578,43.2674016254338,-79.9400532245636,43.267675056708676,-79.93931293487549,43.26834691119582,-79.9369204044342,43.26831566231434,-79.9368131160736,43.26834691119582,-79.93670582771301,43.26800317261725,-79.93658781051636,43.26636257538735,-79.94207024574278,43.26636257538735,-79.94223117828368,43.26624148193477,-79.94233846664429",1,2,,,,70,Settlers,Water
Dewitt Road,4,"43.20699010482372,-79.71799850463867,43.20720906691766,-79.71666812896727,43.20745930834833,-79.71608877182007,43.20781902860633,-79.71557378768921,43.208694860364,-79.7151231765747,43.209742713978706,-79.71486568450928,43.210665435838095,-79.71473693847656,43.211572504737354,-79.71462965011597,43.21563850988303,-79.71312761306763,43.22458276695728,-79.7093939781189,43.232650236790164,-79.70596075057983",0,3,,,,71,Settlers,Street
Dickenson Road,4,"43.187311588234444,-79.93763923645018,43.17936329788893,-79.90365028381348,43.171445271313964,-79.86983299255371,43.16790842974157,-79.85485553741455,43.166781605338365,-79.84957695007324,43.16202367313506,-79.82897758483887",0,3,,,,72,Settlers,Street
Duff's Corners,4,"43.19658067858205,-80.01330971717834,43.197042140805,-80.01082062721251,43.19777734459524,-80.01238703727722,43.195970604524035,-80.01179695129395",0,3,,,,73,Settlers,Street
Durand Neighbourhood,4,"43.25776824843158,-79.87944602966307,43.244452459345936,-79.88498210906982,43.244968265936286,-79.87977862358093,43.2451011245022,-79.87820148468018,43.24506595608648,-79.87446784973145,43.24706270842977,-79.87360954284668,43.247515973818956,-79.87305164337158,43.255361619476595,-79.86974716186523,43.25776824843158,-79.87944602966307",0,3,,,,74,Settlers,Neighbourhood
Dynes Park Avenue,4,"43.27160451907641,-79.77797269821167,43.27187011970531,-79.7773289680481",0,3,,,,75,Settlers,Street
The Ellen Fairclough Building,-1,"43.25705720886725,-79.87095952033997,43.25711190451312,-79.87119555473328,43.25654931838072,-79.87141013145447,43.256455553519984,-79.8710024356842,43.257002513172225,-79.87074494361877,43.25705720886725,-79.87095952033997",1,2,,,,76,Politicians,Building
Emerson Street,4,"43.248313087528814,-79.92375612258911,43.24950873853484,-79.92329478263855,43.25232194243652,-79.9220609664917,43.257604163115225,-79.9195396900177",0,3,,,,77,Settlers,Street
Fennell Avenue,4,"43.24238918931042,-79.8966121673584,43.232665870384956,-79.85798835754395,43.23013317573104,-79.84816074371338,43.22800688166924,-79.83906269073486,43.222503187893466,-79.81644630432129",0,3,,,,78,Settlers,Street
Ferrie Street,4,"43.2698546506657,-79.86820220947266,43.26851877975717,-79.86241936683655",0,3,,ferrieSt.jpg,,79,Politicians,Street
Fiddler's Green Road,4,"43.21968860701766,-79.98789310455322,43.217905971925525,-79.98735666275024,43.21770268566597,-79.98722791671753,43.20897637504392,-79.98456716537476,43.20526966102204,-79.98342990875244,43.20242300199273,-79.9825930595398,43.20181298634766,-79.98246431350708,43.20118732293985,-79.98224973678589,43.19510241169485,-79.98029708862305,43.185387195557105,-79.97722864151001,43.184855238911176,-79.97684240341187,43.18407294130503,-79.97637033462524,43.175420061207426,-79.97381687164305,43.166750304363774,-79.97107028961182,43.16599907616181,-79.97070550918579,43.1483738643026,-79.96538400650024,43.13437651434644,-79.96104955673218",0,3,,,,80,Artists,Street
Filman Road,4,"43.24394446373829,-79.94658708572388,43.24385067947059,-79.94638323783875,43.24408513986914,-79.94571805000305,43.244358675860276,-79.94507431983948,43.244507166312545,-79.94491338729858,43.244671286917665,-79.94479537010193,43.24519490684487,-79.94444131851196,43.24575759786894,-79.94406580924986,43.24607801682396,-79.94384050369263,43.24624994825135,-79.94378685951233,43.246382804021934,-79.94391560554504",0,3,,,,81,Settlers,Street
Franz Liszt Avenue,4,"43.25407231483929,-79.87190365791321,43.255705429436404,-79.87120628356932",0,3,,,,82,Artists,Street
Frid Street,4,"43.25613518915643,-79.89397287368774,43.26040136659695,-79.89211678504944",0,3,,,,83,Business,Street
George Street,4,"43.26002633001446,-79.88373756408691,43.25949502423478,-79.8822569847107,43.25899496750102,-79.88070130348206,43.258518347104086,-79.87905979156494,43.25712753183151,-79.87412452697754",0,3,,,,84,Business,Street
Gibson Avenue,4,"43.25989350400417,-79.83778595924377,43.25929969006196,-79.83806490898132,43.257354127497194,-79.83886957168579,43.257119718172824,-79.83888030052185,43.253962918038,-79.8402750492096,43.252814239759665,-79.84075784683228,43.25137640784492,-79.84085440635681",0,3,,,,85,Business,Street
Governor's Road,4,"43.26270622820009,-79.95504140853882,43.260315420917514,-79.96853828430174,43.25829956927911,-79.9785590171814,43.25759634951771,-79.98272180557251,43.256330533481076,-79.9895453453064,43.25468962167768,-79.99799966812134,43.254502086084734,-80.0009822845459,43.25442394608389,-80.00160455703735,43.254330177950514,-80.00235557556152,43.25408012888901,-80.00325679779053,43.253220577409465,-80.0055742263794,43.251532695566965,-80.01379251480103,43.25104820232328,-80.01546621322632,43.25043867309072,-80.01731157302856,43.24921959632555,-80.02031564712524,43.24843812402704,-80.02482175827026,43.24826619877583,-80.03175258636475,43.24809427303935,-80.03368377685547,43.24748471424524,-80.0374174118042,43.24673447966313,-80.0397777557373,43.244843222315424,-80.04271745681763,43.24438993703821,-80.04387617111206,43.2442180003611,-80.04554986953735,43.24415547781272,-80.05054950714111,43.24465565640289,-80.05306005477904,43.24418673909493,-80.05640745162964,43.24059158648749,-80.07606267929077,43.23382274526997,-80.11520147323607,43.22869480845322,-80.14461994171143,43.21186964506396,-80.24019241333006,43.2084289841955,-80.26130676269531,43.19967006253075,-80.31323432922363,43.19848125481692,-80.31932830810547,43.19178595781361,-80.36138534545898",0,3,,,,86,Politicians,Street
Grant Avenue,4,"43.247414380145685,-79.85204458236694,43.250462116635546,-79.85072493553162,43.25052463271094,-79.8506498336792,43.252204728201605,-79.84992027282715",0,3,,,,87,Business,Street
Gravel Pit Road,4,"43.238137382219925,-80.01995086669922,43.23696495675549,-80.01960754394531,43.236722652680044,-80.0194787979126,43.23656632695875,-80.01918911933899,43.23644908240457,-80.01912474632263,43.23588630540444,-80.01939296722412,43.23562054779214,-80.01978993415833,43.23501868067967,-80.02041220664978,43.234526239529806,-80.02076625823975,43.234213576416934,-80.02087354660034,43.23387746178145,-80.02078771591187,43.23376021205386,-80.02081990242004,43.23356479533994,-80.02102375030518",0,3,,,,88,Business,Street
Green Road,4,"43.23884082667043,-79.72559452056885,43.24252986903263,-79.72389936447142,43.21340224060034,-79.73713874816895,43.23821554311549,-79.72583055496216",0,3,,,,89,Settlers,Street
Greenford Neighbourhood,4,"43.23000810166306,-79.7738742828369,43.22118973298753,-79.77773666381836,43.22081445495995,-79.77657794952393,43.219125675250545,-79.76773738861084,43.228100690324204,-79.76430416107178,43.23000810166306,-79.7738742828369",0,3,,,,90,Settlers,Neighbourhood
Griffin House,-1,"43.22654501147426,-79.97974991798401,43.22627139551065,-79.97978210449219,43.22620885454652,-79.97917056083679,43.2264746532009,-79.97919201850891,43.22654501147426,-79.97974991798401",1,2,,,,91,Heritage,Building
Green Road,4,"43.221072458852056,-79.92003321647643,43.22074409007262,-79.92017269134521,43.2204079011567,-79.92033362388611,43.220243715198485,-79.92047309875488,43.22011080243225,-79.92073059082031,43.22002479989973,-79.9210202693939,43.21999352622146,-79.92133140563965,43.22043917462244,-79.92315530776976,43.220642451758664,-79.9241316318512",0,3,,,,92,Settlers,Street
Guyatt Road,4,"43.122349386353136,-79.72392082214355,43.138572924273255,-79.79700565338135,43.14743454516238,-79.83520030975342",0,3,,,,93,Settlers,Street
Hall Road,4,"43.0724930427361,-79.77895975112915,43.07233629633868,-79.78207111358643,43.07310434985552,-79.78368043899536,43.07496958260876,-79.7866415977478,43.07554951735714,-79.78715658187866,43.07575327691178,-79.78758573532104,43.07993803483214,-79.80578184127806,43.08330757599295,-79.8206090927124,43.09241224622403,-79.85974788665771",0,3,,,,94,Settlers,Street
Harrington Court,4,"43.22474694123053,-79.98839735984802,43.22505183513639,-79.98679876327515",0,3,,,,95,Politicians,Street
Hatt Street,4,"43.269237497573876,-79.97220754623413,43.26820629110285,-79.9679160118103,43.26736256372282,-79.96469736099243,43.26494068868764,-79.95534181594849,43.26450317840596,-79.95422601699829,43.26348751741559,-79.95244503021239",0,3,,,,96,Settlers,Street
Herkimer Street,4,"43.25115760436035,-79.88210678100586,43.248875749749445,-79.87247228622437",0,3,,,,97,Settlers,Street
Hess Street,4,"43.246031126350445,-79.88292217254639,43.255564780141995,-79.87890958786011,43.259002780919076,-79.87734317779541,43.26614382574916,-79.87423181533813,43.26792504994231,-79.87341642379761",0,3,,,,98,"Settlers,Business",Street
Houghson Street,4,"43.24950092389858,-79.87085223197937,43.252525113242626,-79.86946821212769,43.253478444127175,-79.8690390586853,43.260440432774786,-79.8659598827362,43.26525319410659,-79.86385703086853,43.26662819889123,-79.86323475837708,43.27416673562158,-79.86000537872314",0,3,,,,99,"Settlers,Business",Street
Hunter Street,4,"43.25589296132357,-79.88019704818726,43.25404887268414,-79.87191438674927,43.25361128413143,-79.87034797668457,43.25347063000029,-79.86901760101318,43.252986152173165,-79.86777305603027,43.250798139786326,-79.85968351364136",0,3,,,,100,Settlers,Street
Isaac Brock Drive,4,"43.194601826431494,-79.78857278823853,43.193882227921414,-79.78889465332031,43.19112890310801,-79.78893756866455,43.1905344189458,-79.78874444961548,43.19009637427893,-79.78829383850098,43.18986170619987,-79.78773593902588,43.189673971087025,-79.78689908981323,43.188438033846715,-79.7812557220459",0,3,,,,101,Settlers,Street
Ivor Wynne Stadium,-1,"43.25344718761352,-79.83093023300171,43.252235985352954,-79.83143448829651,43.2516811685314,-79.82903122901917,43.252947081212724,-79.82853770256042,43.25344718761352,-79.83093023300171",1,2,,ivorWynne.jpg,,102,Sports,Building
 James N. Allan Skyway,4,"43.265050065766744,-79.773530960083,43.278361351174595,-79.78614807128906,43.287358880561186,-79.7907829284668,43.30866022329514,-79.80275630950928",0,3,,,,103,Politicians,Street
 James Street,4,"43.247422195049644,-79.87318038940428,43.25362691234816,-79.87043380737305,43.26412816709046,-79.86584186553955,43.273799595359804,-79.8616361618042",0,3,,,,103,Business,Street
 Jolley Cut,4,"43.24496435832701,-79.86043453216553,43.244804146131266,-79.86012876033782,43.24454624268721,-79.85994100570679,43.24430787641193,-79.85988199710846,43.24407732453705,-79.8599624633789,43.243842864108444,-79.86018240451813,43.243733448932936,-79.86043453216553,43.24367483357952,-79.86072957515717,43.24368264896324,-79.86096024513245,43.243725633555734,-79.86119627952574,43.24388975626633,-79.86157178878784,43.24473380893662,-79.86290216445923,43.244831499462805,-79.86326158046722,43.24478851565059,-79.86364781856537,43.24454624268721,-79.86407697200774,43.244124216514486,-79.86432909965515",0,3,,,,105,"Settlers,Business",Street
The Juravinski Hospital and Cancer Centre,-1,"43.2413887908062,-79.84727025032043,43.24007574284045,-79.84792470932007,43.23903622646543,-79.84397649765015,43.24025550703143,-79.84350442886353,43.24065411269341,-79.8445987701416,43.2413887908062,-79.84727025032043",1,2,,juravinski.jpg,,106,Business,Building
The Lincoln M. Alexander Parkway,4,"43.23194672087426,-79.94836807250977,43.229820490079824,-79.93257522583008,43.22797561208547,-79.92313385009766,43.2227220942934,-79.90163326263428,43.21718664827096,-79.88004684448242,43.20667730046891,-79.83610153198242,43.2054886292916,-79.83341932296753,43.203470963348124,-79.83116626739502,43.19879410119779,-79.82648849487303",0,3,,,,107,Politicians,Street
Lister Block,-1,"43.25765104467929,-79.86851334571838,43.25801828234912,-79.86834168434143,43.257846384141125,-79.8679232597351,43.257518213487344,-79.86818075180054,43.25765104467929,-79.86851334571838",1,2,,listerblock.jpg,,108,Business,Building
LIUNA Station,-1,"43.265721949226986,-79.86496210098265,43.26595241917088,-79.86486554145813,43.26592116906013,-79.864661693573,43.26630007557095,-79.86449539661407,43.26624538817896,-79.8642486333847,43.26585476252155,-79.86442029476166,43.26557741678309,-79.86321330070496,43.265428977699756,-79.86328303813934,43.26564772990679,-79.86427009105682,43.265573510496054,-79.86430764198303,43.265721949226986,-79.86496210098265",1,2,,,,109,Business,Building
Tim Hortons,-1,"43.244526704503,-79.81927335262299,43.24465956403194,-79.81921434402466,43.244628302992375,-79.81909632682799,43.244491535755664,-79.81916069984436,43.244526704503,-79.81927335262299",1,2,,timhortons.JPG,,110,Sports,Building
Lloyd D. Jackson square,-1,"43.25694000374636,-79.8691463470459,43.257658858269814,-79.86884593963623,43.2578932655187,-79.86980080604553,43.25817455302621,-79.86968278884888,43.25825268821436,-79.8699402809143,43.25850272014265,-79.86985445022583,43.2588152586092,-79.87109899520874,43.25930359675154,-79.87090587615967,43.259362197065414,-79.87114191055298,43.25846365272153,-79.87153887748718,43.258862139240804,-79.87325549125671,43.258112044803504,-79.87354516983032,43.25694000374636,-79.8691463470459",1,2,,,,111,Politicians,Building
MacNab Street,4,"43.25916686246647,-79.86971497535706,43.26455786736312,-79.86733317375183,43.26919843704108,-79.86530542373656,43.27013588291048,-79.86492991447449,43.271690448818475,-79.8642647266388,43.27252630452502,-79.86383557319641,43.27329965612265,-79.86350297927856,43.273471510698656,-79.86347079277037,43.25408012888901,-79.87191438674927,43.257119718172824,-79.87062692642212,43.248289643156845,-79.87436056137085,43.25115760436035,-79.87319111824036,43.253837892881606,-79.87200021743774",0,3,,,,112,"Politicians,Settlers",Street
McMaster University,4,"43.25820580711349,-79.91620302200317,43.258830885490404,-79.9162244796753,43.25922155621734,-79.91603136062622,43.26237808373965,-79.91596698760986,43.263971911693844,-79.915452003479,43.26444067668047,-79.91480827331543,43.266378200331445,-79.91375684738159,43.26734693903141,-79.91392850875854,43.26819066662803,-79.91528034210204,43.267831302600015,-79.91661071777342,43.266909446043734,-79.91798400878906,43.26636257538735,-79.9189281463623,43.26625320066651,-79.92006540298462,43.26484693674914,-79.92000102996826,43.26455005465797,-79.91935729980469,43.26386253267758,-79.92051601409912,43.26348751741559,-79.92008686065674,43.26320625445309,-79.9210524559021,43.263628148409566,-79.92201805114746,43.26426879660451,-79.92225408554077,43.26486256208225,-79.92287635803223,43.26530006978106,-79.92287635803223,43.26625320066651,-79.92409944534302,43.26580007472946,-79.92489337921143,43.26433129850646,-79.92369174957275,43.26344064034542,-79.92334842681885,43.26240933566922,-79.92294073104858,43.2616749110829,-79.92311239242554,43.25978411766049,-79.92302656173706,43.25904966140631,-79.9228549003601,43.25803390943487,-79.9217176437378,43.25801828234912,-79.91950750350952,43.25820580711349,-79.91620302200317",0,3,,,,113,"Politicians,Business",Building
The Mills Memorial Library,-1,"43.2627921705046,-79.91832733154297,43.26246793299395,-79.91832733154297,43.26248355893768,-79.91731882095337,43.262987493472735,-79.91734027862549,43.262987493472735,-79.91796255111694,43.26280388990037,-79.917973279953,43.2627921705046,-79.91832733154297",1,2,,,,114,"Business,Science",Building
Mohawk Road,4,"43.23093833389932,-79.93532180786131,43.23243918286811,-79.9344527721405,43.23283783966288,-79.93379831314087,43.23301762520729,-79.93325114250183,43.233338111166745,-79.93072986602782,43.23363514542914,-79.92450714111328,43.2336820454435,-79.91719007492065,43.23351007854774,-79.91519451141357,43.23318177676292,-79.91169691085815,43.232650236790164,-79.90764141082764,43.232024889710374,-79.90551710128784,43.230461493938336,-79.89704132080078,43.23035205473241,-79.8961615562439,43.23036768891673,-79.89489555358885,43.23091488284092,-79.89034652709961,43.2300393702041,-79.88644123077393,43.226333936410605,-79.87197875976562,43.22136173464487,-79.85198020935059,43.21665496881147,-79.83314037322998,43.21294872144363,-79.81717586517334",0,3,,,,115,Heritage,Street
Pigott Building,-1,"43.2558304507587,-79.86961841583252,43.2556956621348,-79.86967206001282,43.2557835677929,-79.87007975578307,43.25592226312878,-79.87001538276672,43.2558304507587,-79.86961841583252",1,2,,,,116,"Business,Science",Building
Lover's Lane,4,"43.21986061290985,-79.98694896697997,43.224770394662045,-79.98840808868408,43.2276629153657,-79.98939514160156",0,3,,,,117,Settlers,Street
John C. Munro Hamilton International Airport,-1,"43.158799337390796,-79.92450714111328,43.1632444937136,-79.92244720458984,43.16180454891048,-79.91609573364258,43.180396008273185,-79.90845680236816,43.18702997358328,-79.93763923645018,43.17914423586488,-79.94064331054688,43.18233620478852,-79.95463371276855,43.178706109459,-79.95609283447266,43.17576432217386,-79.94278907775879,43.16393315097006,-79.9478530883789,43.158799337390796,-79.92450714111328",1,2,,,,118,Politicians,Airport
Jarvis Street,4,"43.25438487604586,-79.86026823520659,43.25509594681454,-79.85996782779692",0,3,,,,119,Settlers,Street
Laurier Avenue,4,"43.23319741022136,-79.88629102706909,43.23137608533307,-79.8870849609375,43.231165026998596,-79.8873209953308,43.2311572100092,-79.88761067390442,43.23157150906517,-79.88945603370665,43.231743481431074,-79.88963842391966,43.23198580530486,-79.88972425460815,43.23239228189727,-79.8896062374115,43.233134876363586,-79.88927364349365,43.23426047598612,-79.88881230354308,43.235003047688444,-79.8880398273468,43.235268807993734,-79.88797545433044,43.23551893428117,-79.88805055618286,43.23576124314304,-79.88836169242859,43.23592538730851,-79.88878011703491,43.23626930698339,-79.8901104927063",0,3,,,,120,Politicians,Street
Rolph Street,4,"43.27114362111663,-79.95488047599792,43.27101863123778,-79.95373249053955",0,3,,,,121,"Politicians,Settlers",Street
Ron Joyce Stadium,-1,"43.266753197786116,-79.91749048233032,43.2653938210217,-79.91747975349426,43.26546413435745,-79.91621375083923,43.26681569713729,-79.91632103919983,43.266753197786116,-79.91749048233032",1,2,,,,122,"Business,Science,Sports",Building
Simcoe Street,4,"43.26555007276862,-79.85425472259521,43.267909425395274,-79.86418962478638,43.268550028534385,-79.86697912216187,43.26825316450327,-79.86571311950684",0,3,,,,123,"Politicians,Settlers",Street
Paddy Greene Road,4,"43.21252647643841,-80.0308084487915,43.22997683310596,-80.03617286682129",0,3,,,,124,Business,Street
Togo Salmon Hall,-1,"43.264294188009906,-79.91698354482651,43.26442895759981,-79.91699159145354,43.26441919169753,-79.91760045289993,43.26444067668047,-79.91760045289993,43.26444067668047,-79.91773992776871,43.2643566898858,-79.91773992776871,43.26435473670315,-79.91788476705551,43.264444583040195,-79.91788744926453,43.26443286396027,-79.91842657327652,43.264249264746965,-79.91842120885849,43.26425317111899,-79.91821199655533,43.264100822425014,-79.9182066321373,43.26410668199721,-79.91803765296936,43.2641711372542,-79.91804301738739,43.26416723087694,-79.91800546646118,43.2641184011399,-79.91800546646118,43.26412035433017,-79.91787135601044,43.26420629463836,-79.91787403821945,43.26421020101313,-79.91773724555968,43.264122307520324,-79.91773724555968,43.26412035433017,-79.91758704185486,43.26419652870035,-79.91758972406387,43.264204341450906,-79.9172705411911,43.264184809572676,-79.9172705411911,43.264186762760794,-79.91711765527725,43.264286375270906,-79.91712301969528,43.264294188009906,-79.91698354482651",1,2,,,,125,Education,Building
Tuckett Street,4,"43.25438096904069,-79.88442957401276,43.25472087755371,-79.88593161106108",0,3,,,,126,"Business,Politicians",Street
Webster's Falls,-1,"43.276221117914154,-79.98205661773682,43.27626017393993,-79.98148798942566,43.27623674032747,-79.98111248016357,43.27608832723898,-79.98103737831116,43.275736821111934,-79.98127341270447,43.27563527451942,-79.98134851455688,43.27548685996404,-79.98072624206542,43.27572119857028,-79.98053312301636,43.27581493376009,-79.98043656349182,43.27614300578738,-79.98044729232788,43.27642420897447,-79.98068332672119,43.27662729935694,-79.98111248016357,43.27664292166598,-79.98160600662231,43.27651794308136,-79.98227119445801,43.276221117914154,-79.98205661773682",1,2,,,,127,Settlers,Park
Stinson Street,4,"43.249641587197836,-79.86100316047668,43.24716430268958,-79.85111117362976",0,3,,,,128,"Business,Settler",Street
Tiffany Street,4,"43.26550319728666,-79.87131357192993,43.267268815514235,-79.87056255340575",0,3,,,,129,"Business,Politicians",Street
Macklin Street,4,"43.260221661856114,-79.89751338958739,43.265206318396,-79.89537835121153,43.26785473944911,-79.8944342136383,43.26834691119582,-79.89417672157288,43.26897188545635,-79.89371538162231,43.26937030319801,-79.89355444908142,43.271252987050055,-79.89337205886841,43.272166966095334,-79.89344716072083",0,3,,,,130,Business,Street
Magill Street,4,"43.264612556271175,-79.87986445426941,43.265112566866584,-79.87960696220397,43.26710475580178,-79.87882375717163",0,3,,,,131,"Settlers,Politicians",Street
Market Street,4,"43.26019040880356,-79.87843751907347,43.26072952171164,-79.88020777702332,43.25888557954307,-79.87345933914185,43.26025291489262,-79.87836241722107",0,3,,,,132,"Settlers,Business",Street
McDonald Street,4,"43.301336776434866,-80.12826919555664,43.30159443932564,-80.12812972068787,43.30194579605323,-80.12806534767151,43.30246111558066,-80.12770056724548,43.30254700174391,-80.12745380401611,43.30185990904067,-80.12532949447632,43.301641287006646,-80.12517929077148,43.30054035695956,-80.12587666511536",0,3,,,,133,Settlers,Street
McElroy Road,4,"43.23085234664109,-79.87000465393066,43.23441680762279,-79.88457441329956",0,3,,,,134,"Business,Politicians",Street
The McIntyre Performing Arts Centre,-1,"43.238317152129795,-79.88603353500366,43.23781692149997,-79.88624811172485,43.23769186320085,-79.8856258392334,43.23819991094438,-79.88544344902039,43.238317152129795,-79.88603353500366",1,2,,,,135,"Education,Business",Building
McNeilly Road,4,"43.20242300199273,-79.6763277053833,43.202235305520816,-79.67407464981079,43.202376077928875,-79.67323780059813,43.20240736064211,-79.67267990112305,43.20253249133468,-79.67261552810669,43.20379942514224,-79.67373132705688,43.20411224425437,-79.67428922653198,43.20440942092515,-79.6743106842041,43.22364461977119,-79.66615676879883",0,3,,,,136,"Veterans,Heritage",Street
Michael G. DeGroote Centre for Learning and Discovery,-1,"43.26144442494477,-79.91729736328125,43.26120612479979,-79.91728663444519,43.26119049852819,-79.91725981235504,43.26063576328793,-79.91724371910095,43.2606396698918,-79.91683602333069,43.26072952171164,-79.91683602333069,43.26074124150446,-79.91646587848663,43.26081156021395,-79.91647124290466,43.26081156021395,-79.91643369197845,43.26150692974642,-79.91647124290466,43.26149521010102,-79.91684675216675,43.261409265965646,-79.91685211658476,43.261405359411164,-79.91691112518309,43.261319415148954,-79.91691112518309,43.261319415148954,-79.91702914237976,43.261436611840054,-79.91716861724854,43.26144442494477,-79.91729736328125",1,2,,,,137,Business,Building
Myler Street,4,"43.25847146620776,-79.84344005584717,43.259580971072275,-79.84294652938841,43.25914342227247,-79.84109044075012",0,3,,,,138,Business,Street
Myrtle Avenue,4,"43.24624994825135,-79.84977006912231,43.24984476694544,-79.84822511672974",0,3,,,,139,Business,Street
Napier Street,4,"43.26099516979475,-79.87808346748352,43.262549969153795,-79.88271832466125",0,3,,,,140,Settlers,Street
Nicklaus Drive,4,"43.21501298827481,-79.78878736495972,43.21599818190234,-79.78771448135376,43.217022453638535,-79.78696346282959",0,3,,,,141,Sports,Street
Norman Pinky Lewis Recreation Centre,-1,"43.25641648478542,-79.8449957370758,43.257002513172225,-79.84473824501036,43.257166600109876,-79.84540343284606,43.256752475083665,-79.84559655189514,43.25665871053576,-79.84523177146912,43.256463367263905,-79.84530687332153,43.25641648478542,-79.8449957370758",1,2,,,,142,Sports,Building
Pat Quinn Parkdale Arena,-1,"43.23614424550801,-79.79426980018616,43.23661322471723,-79.79405522346497,43.23664448986951,-79.79392647743225,43.236574143254316,-79.79357242584229,43.236503796557905,-79.79351878166199,43.236003551041435,-79.79375481605528,43.23614424550801,-79.79426980018616",1,2,,,,143,Sports,Arena
Plastow Street,4,"43.30054035695956,-80.1258659362793,43.30167251877391,-80.12519001960754",0,3,,,,144,Business,Street
Railway Street,4,"43.24303787643607,-80.06273746490479,43.24375689505852,-80.06299495697021,43.24352243339667,-80.06417512893677",0,3,,,,145,Heritage,Street
Randle Reef,-1,"43.272393505787306,-79.83756065368652,43.27567433092122,-79.8362946510315,43.274565119357376,-79.83086585998535,43.27176856666052,-79.83211040496826,43.27183106086199,-79.83238935470581,43.27004995097356,-79.83311891555786,43.26978434240146,-79.83333349227905,43.27025306262895,-79.83397722244263,43.271252987050055,-79.83393430709839,43.272127907442524,-79.8376679420471,43.272393505787306,-79.83756065368652",1,2,,,,146,Environment,Water
Rebecca Street,4,"43.255627290979625,-79.8583960533142,43.256846239487224,-79.86341714859009,43.258455839234315,-79.86833095550537",0,3,,,,147,Settlers,Street
Rousseaux Street,4,"43.230993053000475,-79.97409582138062,43.23028951795509,-79.9726152420044,43.229195113965005,-79.96896743774414,43.2291169414995,-79.96840953826904",0,3,,,,148,Settlers,Street
Ryckman’s Corners,4,"43.20314249978556,-79.89293217658997,43.20217273990185,-79.89359736442566,43.20278275194983,-79.89412307739258,43.20232915382896,-79.89242792129517",0,3,,,,149,Settlers,Street
Sanford Avenue,4,"43.259580971072275,-79.84291434288025,43.258448025746084,-79.84346151351929,43.2569321900636,-79.84410524368286,43.25374412384586,-79.84551072120667,43.251767126397986,-79.84636902809142,43.24495263549772,-79.84931945800781",0,3,,,,150,Business,Street
